Summary,Issue Type,Description,Priority,Epic Name,Epic Link,Labels,Original Estimate
Isolamento e confiança do condomínio,Epic,"Garantir que o mural seja de fato do condomínio: ninguém lê nem escreve dados de um condomínio ao qual não pertence, e a reputação exibida corresponde a serviços realmente contratados.",High,Isolamento e confiança do condomínio,,epico,
Integridade do dinheiro,Epic,"Existir caminho de volta para o dinheiro, e a comissão cobrada virar margem conhecida e configurável num único lugar.",High,Integridade do dinheiro,,epico,
Verificação de morador,Epic,Transformar a premissa do produto em fato verificável: o morador comprova que mora no endereço antes de ter acesso completo ao mural.,High,Verificação de morador,,epico,
Receita e distribuição,Epic,Criar fonte de receita que não dependa da comissão por serviço e levar o app para a Play Store.,High,Receita e distribuição,,epico,
"Qualidade, UX e dívida técnica",Epic,"Responsividade do funil, cobertura de teste com piso, e a dívida acumulada que não bloqueia mas incomoda.",High,"Qualidade, UX e dívida técnica",,epico,
Observabilidade e segurança operacional,Epic,Enxergar o que quebra em produção e fechar as exposições operacionais conhecidas.,High,Observabilidade e segurança operacional,,epico,
"Isolar dados por condomínio nas rotas de serviço, agendamento e avaliação",Story,"[P0-1] Hoje qualquer usuário autenticado lê e escreve dados de qualquer condomínio.

Pontos confirmados no código:
* GET /services?condominiumId= aceita qualquer identificador (services.controller.ts:44)
* GET /services/:id não checa vínculo nenhum
* POST /services aceita condominiumId vindo do corpo da requisição, permitindo publicar em condomínio alheio (services.service.ts:44)
* A criação de agendamento exige que o usuário tenha condomínio, mas não que seja o mesmo do serviço (appointment-creation.service.ts:42)

Critério de aceite: um usuário do condomínio A recebe 403 ou 404 em toda tentativa de ler ou escrever recurso do condomínio B, por qualquer rota.

Atenção: não aplicar a restrição nas rotas de perfil, termos e onboarding, senão o usuário fica preso antes de se vincular.",Highest,,Isolamento e confiança do condomínio,"seguranca,multi-tenant,backend",3d
Criar papel de administrador e proteger o CRUD de condomínio,Story,"[P0-2] Não existe nenhum conceito de administrador no sistema. POST, PATCH e DELETE de condomínio exigem apenas estar autenticado (condominiums.controller.ts:31), então qualquer usuário renomeia ou desativa o condomínio de qualquer outro.

Escopo:
* Papel de administrador da plataforma
* Papel de síndico, vinculado a um condomínio específico
* Guard aplicado ao CRUD de condomínio

Este item destrava a fila de revisão manual da verificação de morador (E3) e o plano B2B (E4) — o síndico é o verificador natural e o comprador natural.",Highest,,Isolamento e confiança do condomínio,"seguranca,backend,autorizacao",5d
Exigir agendamento concluído para avaliar um serviço,Story,"[P0-3] reviews.service.ts:32 só impede avaliação duplicada do mesmo autor. Qualquer usuário autenticado avalia qualquer serviço sem nunca ter contratado nada.

Efeito: nota falsa em massa para inflar a própria reputação ou afundar a do concorrente. Como a nota é o principal sinal de confiança do mural, isso esvazia o valor do produto.

Critério de aceite: criar avaliação sem um agendamento com status 'completed' do próprio autor para aquele serviço responde 403.",Highest,,Isolamento e confiança do condomínio,"confianca,backend",2d
Bloquear criação de agendamento com data no passado,Bug,"[P0-4] A função hasAppointmentDateTimePassed existe em appointment-date.util.ts:38 e é usada pelos serviços de disponibilidade e de status — mas appointment-creation.service.ts importa apenas toDateKey e toTimeKey (linha 16). A validação de data passada não acontece na criação.

O double-booking já está corretamente tratado com transação e trava pessimista; falta só a checagem de data.

Correção: importar e aplicar a função já existente. Cerca de duas horas, incluindo teste.",High,,Isolamento e confiança do condomínio,"backend,agendamento",2h
Deduplicar e curar a base de condomínios,Task,"[P2-1] O onboarding busca condomínio por CEP e adota o PRIMEIRO resultado (onboarding.service.ts:160). Um CEP brasileiro cobre uma rua inteira com vários prédios — quem chega primeiro define o condomínio de todo mundo daquele CEP, e quem não encontra cria outro.

A base tende a ser um misto de duplicatas e agrupamentos errados.

Pré-requisito da verificação de morador: a comparação de endereço bate contra este dado. Se ele estiver sujo, a verificação valida contra lixo.",High,,Isolamento e confiança do condomínio,"dados,backend,frontend",5d
Adicionar número da unidade (apartamento e bloco) ao cadastro,Task,[P2-2] O sistema não sabe em qual unidade a pessoa mora — só a qual condomínio ela diz pertencer. Isso impede a verificação de morador e qualquer conferência contra a lista oficial do síndico.,High,,Isolamento e confiança do condomínio,"backend,frontend",1d
Implementar estorno e política de cancelamento,Story,"[P1-1] Não existe uma única chamada de reembolso em todo o backend. Depois do pagamento confirmado, cancelar devolve a mensagem de que o assunto 'deve ser tratado diretamente com o prestador' (appointment-status.service.ts:114).

Como o split já transferiu o valor para a conta Connect do prestador, a plataforma fica devendo ao cliente um dinheiro que não tem mais — e é ela quem responde no chargeback, por ser a comerciante do registro.

Escopo: rotina de estorno via Stripe, política de prazo, regra de quem arca com a taxa, e a interface de cancelamento.

Bloqueia a publicação na Play Store e tem implicação de direito de arrependimento (CDC Art. 49).",Highest,,Integridade do dinheiro,"pagamento,juridico,backend,frontend",1sem
Unificar a taxa da plataforma numa única fonte de configuração,Bug,"[P1-2] A comissão está definida em dois lugares que podem divergir:
* PLATFORM_FEE_RATE = 0.05 fixo no código (stripe-payment-gateway.service.ts:9)
* PLATFORM_FEE_PERCENT por variável de ambiente (stripe-connect.service.ts:31)

Mudar a variável de ambiente dá a impressão de ter alterado a comissão — e não altera a cobrança real, que usa a constante fixa.

Já estava no backlog como B2.",High,,Integridade do dinheiro,"pagamento,backend",1d
Rever o modelo de cobrança para a comissão virar margem,Story,"[P1-3] O split usa cobrança com destino (application_fee_amount + transfer_data.destination). Nesse modelo a plataforma é a comerciante do registro e PAGA a taxa de processamento.

Num serviço de R$ 100: R$ 5 de comissão menos cerca de R$ 4,39 de taxa de cartão deixa cerca de R$ 0,61 — margem de aproximadamente 0,6% do transacionado, não os 5% que a comissão sugere.

Três saídas a avaliar:
1. Migrar para cobrança direta, em que a conta conectada paga a taxa
2. Incentivar o Pix na interface — custa uma fração do cartão e o código já suporta
3. Subir a comissão

Confirmar as taxas reais no painel da conta Stripe antes de decidir.",High,,Integridade do dinheiro,"pagamento,negocio,backend",5d
Tratar o saldo do prestador sem conta Connect,Story,"[P1-4] Se o prestador não concluiu o cadastro na Stripe, o pagamento é coletado 100% pela plataforma e nenhuma transferência acontece depois (stripe-payment-gateway.service.ts:63). Não existe rotina que quite esse saldo.

A plataforma acumula obrigação com o prestador sem mecanismo de pagamento.

Duas saídas: bloquear a cobrança enquanto não houver conta Connect ativa, ou criar a rotina de repasse com saldo rastreável. A primeira é mais simples e provavelmente suficiente.",High,,Integridade do dinheiro,"pagamento,backend",3d
